"Title","Category","Root","Extension","RelativePath","SizeBytes","LastModified"
"論理の物性をみる","Logic","Logic & Logic","md","Logic & Logic\論理の物性をみる.md","449","2026-04-11T01:10:15"
"K4上同値な原理","Proof memo","Proof_memo","md","Proof_memo\K4上同値な原理.md","10128","2025-10-13T22:25:30"
"MN,MN4の算術的完全性","Proof memo","Proof_memo","md","Proof_memo\MN,MN4の算術的完全性.md","3131","2025-10-05T17:55:08"
"自己可証文は自己自己可証文になる","Proof memo","Proof_memo","md","Proof_memo\自己可証文は自己自己可証文になる.md","1571","2025-09-21T09:55:10"
"相互言及補題","Proof memo","Proof_memo","md","Proof_memo\相互言及補題.md","1601","2025-10-04T18:01:07"
"@artemov_1993","Literature","References","md","References\@artemov_1993.md","4168","2025-10-02T16:59:51"
"@kogure_2023","Literature","References","md","References\@kogure_2023.md","162","2025-10-05T05:19:14"
"@smullyan_1986","Literature","References","md","References\@smullyan_1986.md","94","2025-09-21T08:12:42"
"@suzukiRelativeLeftmostPath2025","Literature","References","md","References\@suzukiRelativeLeftmostPath2025.md","137","2025-09-04T20:28:50"
"「これは証明可能性述語ではない」述語モデル","Literature","References","md","References\Research\「これは証明可能性述語ではない」述語モデル.md","129","2025-09-03T19:48:45"
"A.Visser, Categories of Theories and Interpretations","Literature","References","md","References\A.Visser, Categories of Theories and Interpretations.md","1839","2026-02-24T08:03:50"
"A.Visser, INTERPRETABILITY DEGREES OF FINITELY AXIOMATIZED SEQUENTIAL THEORIES","Literature","References","md","References\A.Visser, INTERPRETABILITY DEGREES OF FINITELY AXIOMATIZED SEQUENTIAL THEORIES.md","133","2026-02-20T06:44:05"
"Abstract Algebraic Logic – 1st lesson","Literature","References","md","References\Abstract Algebraic Logic – 1st lesson.md","591","2026-03-25T17:46:34"
"Abstract Algebraic Logic – 2st lesson","Literature","References","md","References\Abstract Algebraic Logic – 2st lesson.md","368","2026-03-25T21:33:02"
"Abstract G2-ZOO","Literature","References","md","References\Abstract G2-ZOO.md","1122","2026-05-25T16:59:43"
"Another look at the second incompleteness theorem","Literature","References","md","References\Another look at the second incompleteness theorem.md","999","2026-02-08T06:39:49"
"Can we make the second incompleteness theorem coodinate free (qy)","Literature","References","md","References\Can we make the second incompleteness theorem coodinate free (qy).md","759","2026-02-23T17:22:12"
"CLAUDIO BERNARDI and PAOLA D'AQUINO,Topologicαl Duality for Diagonalίzable Algebras","Literature","References","md","References\CLAUDIO BERNARDI and PAOLA D'AQUINO,Topologicαl Duality for Diagonalίzable Algebras.md","30","2026-03-05T17:29:43"
"Edwin D. Mares, The Incompleteness of RGL","Literature","References","md","References\Edwin D. Mares, The Incompleteness of RGL.md","0","2026-03-03T11:36:00"
"Finitely Axiomatized Theories Lack Self-Comprehension","Literature","References","md","References\Finitely Axiomatized Theories Lack Self-Comprehension.md","3736","2026-03-03T23:19:43"
"G2-zoo","Literature","References","md","References\Research\動物園動物園\G2-zoo.md","15236","2026-05-30T23:04:40"
"G2と証明論の幾何学","Literature","References","md","References\Research\G2と証明論の幾何学.md","549","2026-05-03T06:02:09"
"GIOVANNA D’AGOSTINO, Topological Structure of Diagonalizable Algebras and Corresponding Logical Properties of Theories","Literature","References","md","References\GIOVANNA D’AGOSTINO, Topological Structure of Diagonalizable Algebras and Corresponding Logical Properties of Theories.md","82","2026-03-05T12:14:28"
"Lev Beklemishev, Generalizations of Gödel’s second theorem to systems of arithmetic based on non-classical logic","Literature","References","md","References\Lev Beklemishev, Generalizations of Gödel’s second theorem to systems of arithmetic based on non-classical logic.md","16278","2026-04-21T04:17:55"
"Lewisian Fixed Points I Two Incomparable Constructions","Literature","References","md","References\Lewisian Fixed Points I Two Incomparable Constructions.md","0","2026-03-04T22:53:18"
"Löbの定理","Literature","References","md","References\Research\Löbの定理.md","4611","2025-10-26T05:45:59"
"N上の分類","Literature","References","md","References\Research\N上の分類.md","1505","2025-09-26T16:58:01"
"P.Henk, Kripke Models Built from Models of Arithmetic","Literature","References","md","References\P.Henk, Kripke Models Built from Models of Arithmetic.md","195","2026-01-30T06:36:55"
"P.Lindström, Aspect of Incompleteness","Literature","References","md","References\P.Lindström, Aspect of Incompleteness.md","103","2026-02-09T12:05:10"
"pakhomovReducing$o$modelReflection2022","Literature","References","md","References\pakhomovReducing$o$modelReflection2022.md","126","2025-09-04T21:50:33"
"PAVEL PUDLÁK, SOME PRIME ELEMENTS IN THE LATTICE OF INTERPRETABILITY TYPES BY","Literature","References","md","References\PAVEL PUDLÁK, SOME PRIME ELEMENTS IN THE LATTICE OF INTERPRETABILITY TYPES BY.md","179","2026-02-14T18:23:04"
"README","Literature","References","md","References\Zotero\notes\README.md","203","2026-06-21T02:20:29"
"README","Literature","References","md","References\Zotero\bib\README.md","222","2026-06-21T02:20:26"
"Refinements of provability and consistency principles for the second incompleteness theorem","Literature","References","md","References\Refinements of provability and consistency principles for the second incompleteness theorem.md","36","2026-05-10T19:35:47"
"Rosser の証明可能性述語","Literature","References","md","References\Research\Rosser の証明可能性述語.md","3944","2025-10-13T16:28:30"
"Sequential Theory","Literature","References","md","References\Sequential Theory.md","475","2026-05-11T04:41:28"
"suzukiRelativeLeftmostPath2025","Literature","References","md","References\suzukiRelativeLeftmostPath2025.md","17","2025-09-04T21:51:33"
"The absorption law Or how to Kreisel a Hilbert–Bernays–Löb","Literature","References","md","References\The absorption law Or how to Kreisel a Hilbert–Bernays–Löb.md","17","2026-02-08T11:33:32"
"テーマリスト","Literature","References","md","References\Research\テーマリスト.md","6785","2025-10-31T01:05:09"
"モダスポネンス動物園","Literature","References","md","References\Research\動物園動物園\モダスポネンス動物園.md","2354","2025-10-06T20:51:27"
"解釈可能性次数","Literature","References","md","References\Research\解釈可能性次数.md","13959","2026-03-30T15:58:55"
"関係の様相論理","Literature","References","md","References\Research\関係の様相論理.md","247","2025-09-29T22:18:51"
"奇妙な抽象的帰結関係一覧","Literature","References","md","References\Research\動物園動物園\奇妙な抽象的帰結関係一覧.md","418","2026-03-10T02:56:40"
"巨大可算証明述語","Literature","References","md","References\Research\巨大可算証明述語.md","325","2025-09-03T19:11:52"
"形式体系一覧","Literature","References","md","References\Research\動物園動物園\形式体系一覧.md","277","2026-03-09T06:14:43"
"圏論的証明可能性論理","Literature","References","md","References\Research\圏論的証明可能性論理.md","2686","2025-10-31T02:26:05"
"圏論的第二不完全性定理","Literature","References","md","References\Research\圏論的第二不完全性定理.md","2991","2026-04-28T04:26:37"
"圏論的抽象代数論理","Literature","References","md","References\Research\圏論的抽象代数論理.md","8239","2026-05-16T01:28:04"
"研究アイデア・ダッシュボード","Literature","References","md","References\Research\研究アイデア・ダッシュボード.md","4370","2026-06-21T02:22:18"
"研究アイデアテンプレート","Literature","References","md","References\Research\研究アイデアテンプレート.md","1160","2026-06-15T07:33:12"
"研究アイデア運用ガイド","Literature","References","md","References\Research\研究アイデア運用ガイド.md","2682","2026-06-15T07:33:13"
"研究システム運用","Literature","References","md","References\Research\研究システム運用.md","2601","2026-06-21T02:44:18"
"研究テーマ相関図","Literature","References","md","References\Research\研究テーマ相関図.md","5025","2025-10-31T01:05:09"
"研究リンク棚卸し","Literature","References","md","References\Research\研究リンク棚卸し.md","1313","2026-06-21T02:21:21"
"研究課題一覧","Literature","References","md","References\Research\研究課題一覧.md","1182","2026-04-24T11:51:58"
"研究成果リスト","Literature","References","md","References\Research\研究成果リスト.md","7690","2026-06-15T08:00:13"
"現在の研究テーマ - ミニリスト","Literature","References","md","References\Research\現在の研究テーマ - ミニリスト.md","5857","2026-04-05T17:39:23"
"公理的真理論","Literature","References","md","References\Research\公理的真理論.md","427","2026-02-06T17:20:42"
"私的オープン☆クエスチョンズ","Literature","References","md","References\Research\私的オープン☆クエスチョンズ.md","7293","2025-12-19T09:06:36"
"自己言及","Literature","References","md","References\Research\自己言及.md","1704","2025-10-11T21:26:05"
"自己言及と様相","Literature","References","md","References\Research\自己言及と様相.md","9538","2025-10-02T15:20:36"
"自己言及関係","Literature","References","md","References\Research\自己言及関係.md","5217","2025-09-29T20:01:58"
"自己言及述語","Literature","References","md","References\Research\自己言及述語.md","2298","2026-01-31T02:59:24"
"自己言及文【第一弾】","Literature","References","md","References\Research\自己言及文【第一弾】.md","229","2025-09-03T19:46:14"
"自己言及文一覧 ver.2 - 不動点の理論","Literature","References","md","References\Research\動物園動物園\自己言及文一覧 ver.2 - 不動点の理論.md","17139","2025-10-11T21:59:56"
"渋谷セミナー2 (2026.5.08)","Literature","References","md","References\Research\渋谷セミナー2 (2026.5.08).md","4967","2026-05-30T23:04:12"
"述語の論理","Literature","References","md","References\Research\述語の論理.md","313","2025-10-26T22:34:05"
"述語モデルと形式世界","Literature","References","md","References\Research\述語モデルと形式世界.md","13278","2025-10-31T01:05:09"
"述語モデル一覧","Literature","References","md","References\Research\動物園動物園\述語モデル一覧.md","835","2025-09-03T19:44:31"
"述語モデル一覧 ver.2","Literature","References","md","References\Research\動物園動物園\述語モデル一覧 ver.2.md","1546","2025-09-30T04:11:40"
"述語量化証明可能性論理","Literature","References","md","References\Research\述語量化証明可能性論理.md","1563","2025-10-11T22:50:08"
"小定理・モデル関係ビジュアライザー","Literature","References","md","References\Research\小定理・モデル関係ビジュアライザー.md","2188","2026-06-21T15:15:58"
"証明可能性述語の分解Ⅱ","Literature","References","md","References\Research\証明可能性述語の分解Ⅱ.md","481","2025-09-03T19:48:06"
"証明可能性代数","Literature","References","md","References\Research\証明可能性代数.md","1267","2026-02-28T15:00:14"
"証明可能性論理の濃度","Literature","References","md","References\Research\証明可能性論理の濃度.md","4920","2025-10-31T01:05:09"
"証明可能体系","Literature","References","md","References\Research\証明可能体系.md","4830","2025-11-11T23:34:55"
"真理定義述語動物園","Literature","References","md","References\Research\真理定義述語動物園.md","1361","2025-09-27T02:03:16"
"数化作用素動物園","Literature","References","md","References\Research\動物園動物園\数化作用素動物園.md","2922","2025-09-16T07:27:01"
"数理論理学者_一覧","Literature","References","md","References\Research\数理論理学者_一覧.md","2808","2026-05-17T01:54:07"
"双対理論","Literature","References","md","References\Research\双対理論.md","347","2025-09-23T13:41:35"
"倉橋, 導出可能性条件の様相論理に関するこれまでの研究","Literature","References","md","References\倉橋, 導出可能性条件の様相論理に関するこれまでの研究.md","235","2026-02-09T13:02:02"
"多様相証明可能性論理","Literature","References","md","References\Research\多様相証明可能性論理.md","1234","2025-09-23T12:13:45"
"第2不完全性定理","Literature","References","md","References\Research\第2不完全性定理.md","17327","2025-10-16T02:24:49"
"第二不完全性定理と非古典論理","Literature","References","md","References\Research\第二不完全性定理と非古典論理.md","3581","2026-03-11T04:14:24"
"抽象証明論","Literature","References","md","References\Research\抽象証明論.md","130","2026-04-02T03:43:20"
"抽象的証明可能構造","Literature","References","md","References\Research\抽象的証明可能構造.md","108119","2026-06-21T14:19:06"
"抽象的代数論理学","Literature","References","md","References\Research\抽象的代数論理学.md","18532","2026-05-06T05:09:09"
"抽象的余代数論理","Literature","References","md","References\Research\抽象的余代数論理.md","428","2026-03-27T19:52:29"
"哲学的論理学","Literature","References","md","References\Research\哲学的論理学.md","61","2026-04-02T03:21:40"
"導出可能性次数","Literature","References","md","References\Research\導出可能性次数.md","2706","2026-02-25T23:34:26"
"特殊な反映原理","Literature","References","md","References\Research\特殊な反映原理.md","434","2025-09-03T19:46:48"
"独立命題","Literature","References","md","References\Research\独立命題.md","379","2025-10-09T03:50:53"
"反映原理","Literature","References","md","References\Research\動物園動物園\反映原理.md","2495","2025-10-28T18:09:43"
"非古典命題論理動物園","Literature","References","md","References\Research\動物園動物園\非古典命題論理動物園.md","787","2026-03-27T01:49:52"
"非正規 2重証明可能性論理","Literature","References","md","References\Research\非正規 2重証明可能性論理.md","689","2025-10-27T04:09:03"
"非正規証明述語論理","Literature","References","md","References\Research\非正規証明述語論理.md","0","2025-09-16T09:08:19"
"病的な推論特性の一覧","Literature","References","md","References\Research\動物園動物園\病的な推論特性の一覧.md","11422","2025-09-28T19:43:35"
"病的な様相公理を満たす述語モデル","Literature","References","md","References\Research\病的な様相公理を満たす述語モデル.md","647","2025-09-03T19:47:29"
"不完全性定理の一般化","Literature","References","md","References\Research\不完全性定理の一般化.md","1925","2025-12-15T16:38:45"
"普遍代数","Literature","References","md","References\普遍代数.md","209","2026-05-05T17:00:55"
"普遍論理学","Literature","References","md","References\Research\普遍論理学.md","804","2026-04-02T21:43:54"
"部分構造論理","Literature","References","md","References\Research\部分構造論理.md","672","2026-04-17T07:43:59"
"分野別文献集","Literature","References","md","References\Research\分野別文献集.md","3034","2025-11-03T18:49:39"
"文献ダッシュボード","Literature","References","md","References\Zotero\文献ダッシュボード.md","1040","2026-06-21T02:44:15"
"文献管理・Zotero導入","Literature","References","md","References\Zotero\文献管理・Zotero導入.md","2353","2026-06-21T02:44:23"
"文献候補Inbox","Literature","References","md","References\Zotero\文献候補Inbox.md","909","2026-06-23T07:23:53"
"保存性定理動物園","Literature","References","md","References\Research\動物園動物園\保存性定理動物園.md","379","2025-09-28T07:19:00"
"膨らんだ自己言及文","Literature","References","md","References\Research\膨らんだ自己言及文.md","5657","2025-10-04T22:04:55"
"未解決問題リスト","Literature","References","md","References\Research\未解決問題リスト.md","9676","2026-06-15T08:00:13"
"無限変数述語","Literature","References","md","References\Research\無限変数述語.md","3142","2025-09-29T22:23:24"
"無矛盾性","Literature","References","md","References\Research\無矛盾性.md","1327","2025-10-19T15:17:18"
"無矛盾性述語と無矛盾性論理","Literature","References","md","References\Research\無矛盾性述語と無矛盾性論理.md","7902","2025-10-01T19:24:47"
"命題型","Literature","References","md","References\Research\命題型.md","6192","2025-10-15T23:53:32"
"命題量化証明可能性論理","Literature","References","md","References\Research\命題量化証明可能性論理.md","16485","2025-10-28T17:33:37"
"様相原理一覧","Literature","References","md","References\Research\動物園動物園\様相原理一覧.md","6159","2025-11-07T16:57:56"
"様相算術","Literature","References","md","References\Research\様相算術.md","378","2025-09-23T11:51:48"
"論文の読み方","Literature","References","md","References\論文の読み方.md","335","2026-04-26T19:00:25"
"論理学研究MOC","Literature","References","md","References\Research\論理学研究MOC.md","4234","2026-06-21T02:44:21"
"抽象的証明可能構造","Research note","Research","md","Research\抽象的証明可能構造.md","102869","2026-05-22T09:40:11"
"AbProv 上 の解釈可能性次数","APS/G2/provability","Research-memo","md","Research-memo\AbProv 上 の解釈可能性次数.md","1420","2026-03-08T16:44:51"
"AMS・APS・剰余付きAMS-APSの基礎とモデル一覧","APS/G2/provability","Research-memo","md","Research-memo\AMS・APS・剰余付きAMS-APSの基礎とモデル一覧.md","41493","2026-06-17T10:45:03"
"G2 の遷移現象","APS/G2/provability","Research-memo","md","Research-memo\G2 の遷移現象.md","237","2026-02-28T20:22:16"
"G2の内包性","APS/G2/provability","Research-memo","md","Research-memo\G2の内包性.md","3263","2026-02-09T16:46:33"
"GL上の分類","APS/G2/provability","Research-memo","md","Research-memo\GL上の分類.md","396","2025-10-16T07:09:04"
"MND4 の述語無矛盾性","APS/G2/provability","Research-memo","md","Research-memo\MND4 の述語無矛盾性.md","2697","2026-02-13T23:52:47"
"Rosser の可証性述語と数化作用素","APS/G2/provability","Research-memo","md","Research-memo\Rosser の可証性述語と数化作用素.md","217","2025-09-10T15:20:08"
"コーディネート自由なG2","APS/G2/provability","Research-memo","md","Research-memo\コーディネート自由なG2.md","2024","2026-02-11T15:30:25"
"抽象証明可能構造動物園 ZOO of APS","APS/G2/provability","Research-memo","md","Research-memo\抽象証明可能構造動物園 ZOO of APS.md","0","2026-05-01T13:41:29"
"非古典論理上のG2の逆数学","APS/G2/provability","Research-memo","md","Research-memo\非古典論理上のG2の逆数学.md","2136","2026-04-21T00:58:04"
"表現可能性定理とG2","APS/G2/provability","Research-memo","md","Research-memo\表現可能性定理とG2.md","899","2025-09-24T16:24:35"
"超準モデルにおけるGraded Provability","Logic","Research-memo","md","Research-memo\超準モデルにおけるGraded Provability.md","265","2025-09-08T16:03:21"
"「このTは文である」文","Research note","Research-memo","md","Research-memo\「このTは文である」文.md","77","2025-09-04T14:04:08"
"「この文はΣ1-文ではない」【非シグマワン文】","Research note","Research-memo","md","Research-memo\「この文はΣ1-文ではない」【非シグマワン文】.md","78","2025-09-08T16:03:54"
"□□p➝□pと制限されたΣ_1-健全性","Research note","Research-memo","md","Research-memo\□□p➝□pと制限されたΣ_1-健全性.md","344","2025-09-08T16:05:22"
"2 重導出可能性条件│Double derivability condition","Research note","Research-memo","md","Research-memo\2 重導出可能性条件│Double derivability condition.md","66","2025-09-04T11:36:54"
"2 重量化証明可能性論理・2 重述語証明可能性論理","Research note","Research-memo","md","Research-memo\2 重量化証明可能性論理・2 重述語証明可能性論理.md","184","2025-09-04T11:39:35"
"2階の証明可能性述語","Research note","Research-memo","md","Research-memo\2階の証明可能性述語.md","192","2026-02-06T23:16:20"
"2項述語による自己言及","Research note","Research-memo","md","Research-memo\2項述語による自己言及.md","905","2025-09-27T17:44:02"
"3 重証明可能性論理","Research note","Research-memo","md","Research-memo\3 重証明可能性論理.md","685","2025-09-04T11:37:27"
"Abstract Provbaility Predicate","Research note","Research-memo","md","Research-memo\Abstract Provbaility Predicate.md","254","2026-05-22T08:47:33"
"AI推論","Research note","Research-memo","md","Research-memo\AI推論.md","873","2026-04-12T00:55:20"
"Alwe にVisse&Pahkomovrの業績を紹介する","Research note","Research-memo","md","Research-memo\Alwe にVisse&Pahkomovrの業績を紹介する.md","1046","2026-01-15T06:27:18"
"Beklemishev の分類定理と超準モデル","Research note","Research-memo","md","Research-memo\Beklemishev の分類定理と超準モデル.md","0","2025-09-04T09:04:47"
"Consistency Statmentの分離","Research note","Research-memo","md","Research-memo\Consistency Statmentの分離.md","460","2025-09-06T21:59:17"
"CPLに対応する述語モデルW(x)","Research note","Research-memo","md","Research-memo\CPLに対応する述語モデルW(x).md","399","2025-10-28T11:05:14"
"CPL上の分類","Research note","Research-memo","md","Research-memo\CPL上の分類.md","756","2025-10-01T22:56:20"
"D1を満たさない可証性述語","Research note","Research-memo","md","Research-memo\D1を満たさない可証性述語.md","618","2025-09-04T20:37:26"
"D2を満たさない可証性述語まとめ","Research note","Research-memo","md","Research-memo\D2を満たさない可証性述語まとめ.md","28","2025-09-08T16:06:30"
"G′s Consistencyの表現不能性","Research note","Research-memo","md","Research-memo\G′s Consistencyの表現不能性.md","305","2025-09-03T21:41:39"
"Gödel 境界","Research note","Research-memo","md","Research-memo\Gödel 境界.md","1337","2026-02-11T20:40:10"
"Gödel 文と自己言及理論","Research note","Research-memo","md","Research-memo\Gödel 文と自己言及理論.md","1234","2025-10-15T21:29:55"
"Gödel 文と自己整合性","Research note","Research-memo","md","Research-memo\Gödel 文と自己整合性.md","85","2025-10-24T03:27:17"
"Gödel 文についての考察","Research note","Research-memo","md","Research-memo\Gödel 文についての考察.md","663","2025-09-24T14:56:26"
"Gödel 文のコンパクト化","Research note","Research-memo","md","Research-memo\Gödel 文のコンパクト化.md","547","2025-09-10T15:15:37"
"Gödel′s Consistencyに収束するConsistency Sequence","Research note","Research-memo","md","Research-memo\Gödel′s Consistencyに収束するConsistency Sequence.md","2865","2025-09-04T02:41:43"
"Grobal Reflection の様相化","Research note","Research-memo","md","Research-memo\Grobal Reflection の様相化.md","287","2025-11-01T07:22:03"
"K+□⊥","Research note","Research-memo","md","Research-memo\K+□⊥.md","230","2025-10-10T04:34:35"
"Löbの規則を3つの観点から理解する(Mathlog)","Research note","Research-memo","md","Research-memo\Löbの規則を3つの観点から理解する(Mathlog).md","0","2025-10-26T05:44:41"
"Löbの定理と自己言及規則","Research note","Research-memo","md","Research-memo\Löbの定理と自己言及規則.md","1545","2025-10-26T05:45:23"
"Löbの定理と相互言及","Research note","Research-memo","md","Research-memo\Löbの定理と相互言及.md","169","2025-10-01T07:57:45"
"MAIN-MEMO","Research note","Research-memo","md","Research-memo\MAIN-MEMO.md","10583","2025-12-04T17:47:20"
"mutual-self vs. self-mutual","Research note","Research-memo","md","Research-memo\mutual-self vs. self-mutual.md","256","2025-09-23T04:56:04"
"N + □⊥ vs N + □φ","Research note","Research-memo","md","Research-memo\N + □⊥ vs N + □φ.md","265","2025-10-11T16:12:36"
"n 階算術の証明可能性論理","Research note","Research-memo","md","Research-memo\n 階算術の証明可能性論理.md","103","2025-11-10T22:17:48"
"N+¬(□(p➝q)➝(□p➝□q))の述語モデル","Research note","Research-memo","md","Research-memo\N+¬(□(p➝q)➝(□p➝□q))の述語モデル.md","0","2025-09-06T22:00:03"
"N5の述語モデル","Research note","Research-memo","md","Research-memo\N5の述語モデル.md","324","2025-09-06T22:01:31"
"n変数自己言及関係","Research note","Research-memo","md","Research-memo\n変数自己言及関係.md","109","2025-09-28T20:22:07"
"P(x)⇔x(P(x))を満たすPの不動点","Research note","Research-memo","md","Research-memo\P(x)⇔x(P(x))を満たすPの不動点.md","1098","2025-09-28T00:54:02"
"PA+″PA+この公理はP(x)である″の不動点","Research note","Research-memo","md","Research-memo\PA+″PA+この公理はP(x)である″の不動点.md","44","2025-09-10T15:18:45"
"PA上でどの算術的にも属さない証明可能性述語","Research note","Research-memo","md","Research-memo\PA上でどの算術的にも属さない証明可能性述語.md","121","2025-09-06T21:57:52"
"S4に対応する述語モデルKn(x)","Research note","Research-memo","md","Research-memo\S4に対応する述語モデルKn(x).md","2748","2025-09-04T18:52:56"
"Shavrukovの述語モデルについて【超準的な可証性述語】","Research note","Research-memo","md","Research-memo\Shavrukovの述語モデルについて【超準的な可証性述語】.md","443","2025-09-08T16:02:52"
"Stratified Modalityをもつ推論者","Research note","Research-memo","md","Research-memo\Stratified Modalityをもつ推論者.md","1083","2025-09-26T07:44:51"
"Sとの相互言及","Research note","Research-memo","md","Research-memo\Sとの相互言及.md","393","2025-09-20T06:37:16"
"TA上の超準述語モデルの振る舞い","Research note","Research-memo","md","Research-memo\TA上の超準述語モデルの振る舞い.md","542","2025-09-04T09:04:19"
"Tr_n(x)を用いた真理様相の近似","Research note","Research-memo","md","Research-memo\Tr_n(x)を用いた真理様相の近似.md","857","2025-09-08T16:00:58"
"Triv│K+¬(□p⇔p)の述語モデル","Research note","Research-memo","md","Research-memo\Triv│K+¬(□p⇔p)の述語モデル.md","129","2025-09-10T15:18:16"
"Truth theory zoo","Research note","Research-memo","md","Research-memo\Truth theory zoo.md","49","2026-02-10T13:26:26"
"Visser へのメールを送りたい。","Research note","Research-memo","md","Research-memo\Visser へのメールを送りたい。.md","4654","2026-04-01T01:31:52"
"ZFC_Arith","Research note","Research-memo","md","Research-memo\ZFC_Arith.md","469","2025-12-12T12:00:30"
"Δ0-Fmlのみを形式的に証明する述語モデル","Research note","Research-memo","md","Research-memo\Δ0-Fmlのみを形式的に証明する述語モデル.md","29","2025-09-04T09:02:28"
"Π_1述語で表現される理論","Research note","Research-memo","md","Research-memo\Π_1述語で表現される理論.md","1078","2025-09-26T19:17:33"
"Σ_3-証明可能性述語の様相論理","Research note","Research-memo","md","Research-memo\Σ_3-証明可能性述語の様相論理.md","1230","2025-09-04T08:58:50"
"Σ_n 定義可能な理論の証明可能性論理","Research note","Research-memo","md","Research-memo\Σ_n 定義可能な理論の証明可能性論理.md","767","2025-11-10T21:16:20"
"Σ_n(x)の成す多様相論理","Research note","Research-memo","md","Research-memo\Σ_n(x)の成す多様相論理.md","15","2025-09-06T21:58:32"
"Σ1Cの変種","Research note","Research-memo","md","Research-memo\Σ1Cの変種.md","749","2025-09-04T00:18:16"
"アリス含意","Research note","Research-memo","md","Research-memo\アリス含意.md","168","2026-04-13T22:01:45"
"いろいろな理論","Research note","Research-memo","md","Research-memo\いろいろな理論.md","479","2025-09-20T05:17:46"
"お互いに自己言及文となっている相互言及文","Research note","Research-memo","md","Research-memo\お互いに自己言及文となっている相互言及文.md","522","2025-10-14T14:34:32"
"カリーのパラドックス","Research note","Research-memo","md","Research-memo\カリーのパラドックス.md","478","2026-03-09T01:24:01"
"キャロルの論理","Research note","Research-memo","md","Research-memo\キャロルの論理.md","141","2026-03-10T14:44:46"
"この公理体系は完全である","Research note","Research-memo","md","Research-memo\この公理体系は完全である.md","54","2025-09-04T20:38:15"
"この命題の証明はこの命題から証明できない の証明","Research note","Research-memo","md","Research-memo\この命題の証明はこの命題から証明できない の証明.md","0","2025-09-04T20:36:33"
"すべての偶然は何かにとっての必然になる","Research note","Research-memo","md","Research-memo\すべての偶然は何かにとっての必然になる.md","1017","2025-10-08T19:58:16"
"ならば動物園","Research note","Research-memo","md","Research-memo\ならば動物園.md","99","2025-09-26T09:17:30"
"バーナム効果の形式化と算術化","Research note","Research-memo","md","Research-memo\バーナム効果の形式化と算術化.md","199","2025-09-05T17:03:02"
